MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS
Ferrari 312B: Where the Revolution Begins (2017),7 ,,
80 Minutes (2008),4.3,11,"31,916"
Bad Teacher (2011),5.7,195,"310,041"
Fairy Tail: The Movie - Dragon Cry (2017),7.5,,
The Color of Pomegranates (1969),7.7,4,"21,412"
Book of Fire (2015),4.9,9,"25,048"
The Monkey King 3 (2018),5.6,37,"158,267"
24 City (2008),7.1,7,"22,018"
Journey to the West (2014),6.9,6,"31,310"
While the City Sleeps (1956),7 ,1,"23,331"
"Love, Wedding, Marriage (2011)",5 ,,
Chokeslam (2016),4.7,9,"40,905"
To Rome with Love (2012),6.3,9,"41,814"
Beyond a Reasonable Doubt (1956),7 ,2,"25,553"
The Strangers (2008),6.2,247,"158,318"
Iron Men (2017),8.3,9,"38,784"
Kickboxer: Retaliation (2018),5 ,,
Elements of Matter (2018),5 ,6,"31,108"
Seconds (1966),7.7,3,"22,018"
Black Bread (2010),7 ,8,"36,966"
Won't Back Down (2012),6.4,,
The Way of the Dragon (1972),7.3,29,"36,764"
Still Walking (2008),8 ,14,"27,068"
Something Wild (1986),6.9,3,"19,897"
Shock Corridor (1963),7.5,1,"16,463"
Sanjuro (1962),8.2,11,"23,634"
Life Is Sweet (1990),7.5,7,"26,967"
Fassbinder (2015),6.7,1,"13,736"
Annihilation (2018),7.8,171,"445,915"
Cabin 28 (2017),3.4,13,"44,339"
Ladybird Ladybird (1994),7.5,1,"12,120"
Takeshis' (2005),6.5,,
Monster Family (2017),4.6,23,"111,302"
Ride with the Devil (1999),6.8,7,"18,584"
What Planet Are You From? (2000),5.6,,
Chiefs (1968),7.5,3,"11,918"
The Nile Hilton Incident (2017),6.9,19,"51,207"
Mystery Train (1989),7.6,5,"19,190"
Delirium (2018),3.1,26,"52,116"
Blood from the Mummy's Tomb (1971),5.8,,
The Drowning Pool (1975),6.5,1,"21,816"
The Cotton Club (1984),6.5,6,"24,240"
Quadrophenia (1979),7.3,8,"29,189"
"Paris, Texas (1984)",8.1,,
No Man's Land (1987),6.1,,
Metropolitan (1990),7.5,4,"25,048"
Dead Reckoning (1947),7.2,6,"27,068"
People You May Know (2017),5.8,21,"82,618"
High Society (2017),4.9,17,"56,964"
The Woman Who Left (2016),7.8,27,"68,781"
The Outsider (2018),6.4,57,"153,621"
Love Per Square Foot (2018),7.3,28,"84,941"
Permission (2017),5.3,37,"109,989"
Immigration Game (2017),3.5,15,"47,672"
Bent (2018),5.1,57,"191,193"
Monterey Pop (1968),8.1,19,"38,986"
Hotel Salvation (2016),7.5,21,"73,427"
Cook Off! (2007),4 ,,
Lego DC Comics Super Heroes: The Flash (2018),6.8,,
Paddington 2 (2017),8.1,509,"572,569"
Far Cry 5: Inside Eden's Gate (2018),5.7,,
Muse (2017),5.2,32,"98,879"
Abe & Phil's Last Poker Game (2017),5.5,,
Stop Making Sense (1984),8.5,12,"26,462"
Half Magic (2018),4.7,17,"90,193"
The Star (2017),5.8,46,"182,709"
Scorched Earth (2018),5.3,29,"134,532"
Prodigy (2017),6.3,30,"96,960"
Pitch Perfect 3 (2017),6 ,102,"433,290"
Ilo Ilo (2013),7.3,13,"42,521"
Justice League (2017),6.8,601,"1,704,779"
Pan's Labyrinth (2006),8.2,,
The Midnight Man (2016),4.9,18,"53,934"
Curse of the Mayans (2017),3.1,22,"72,316"
Downsizing (2017),5.7,63,"292,799"
Con Man (2018),4.9,18,"117,463"
The Lullaby (2018),4.3,35,"99,889"
Dark Blue World (2001),7.3,10,"38,683"
Anand (1971),8.9,58,"29,694"
The L-Shaped Room (1962),7.4,3,"14,948"
Bowling for Columbine (2002),8 ,8,"35,855"
