MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS
Score: A Film Music Documentary (2016),7.4,,
Tulip Fever (2017),6.2,65,"207,252"
Pirates of Tortuga (1961),5.2,3,"35,855"
Amityville: The Awakening (2017),4.9,,
White Palace (1990),6.5,23,"115,342"
The Madness of King George (1994),7.2,18,"72,518"
Evils of the Night (1985),3.2,15,"65,044"
Murder on the Orient Express (1974),7.3,101,"148,161"
Cemetery Man (1994),7.3,23,"63,832"
Suspect (1987),6.6,19,"55,954"
Birth of the Dragon (2016),5.2,63,"349,056"
Beach Rats (2017),6.5,19,"114,130"
Patti Cake$ (2017),6.6,,
Summer of '42 (1971),7.3,,
Complete Unknown (2016),5.4,19,"102,111"
Killing Ground (2016),5.8,33,"131,502"
Lipstick Under My Burkha (2016),6.9,69,"160,186"
The Limehouse Golem (2016),6.3,78,"197,152"
The Nut Job 2: Nutty by Nature (2017),5.3,,
Hope and Glory (1987),7.4,17,"75,649"
Love of My Life (2017),5.1,14,"78,477"
Khali the Killer (2017),4.2,9,"46,359"
Whisky Galore (2016),5.6,15,"85,951"
The Show (2017),5.6,62,"203,616"
The Healer (2017),6.2,98,"319,160"
Gun Shy (2017),4 ,45,"234,118"
The Good Catholic (2017),5.4,18,"77,972"
Brigsby Bear (2017),7.4,40,"152,106"
Wind River (2017),7.8,411,"989,194"
Atomic Blonde (2017),6.7,328,"1,128,877"
Topper (1937),7.4,11,"40,299"
The Miracle Worker (1962),8.1,16,"42,420"
Night of the Demons (2009),4.7,20,"40,804"
Tales from the Crypt (1972),7 ,19,"56,055"
1941 (1979),5.8,59,"93,011"
The Vault (2017),4.8,35,"116,756"
Woman's World (1954),7 ,,
The Thing (1982),8.1,262,"206,029"
Funny Man (1994),4.7,11,"30,401"
Ali and Nino (2016),7.1,51,"126,452"
Back Roads (1981),5.6,6,"23,129"
Geo-Disaster (2017),2.3,47,"172,407"
The Glass Castle (2017),7.2,82,"237,956"
Star Wars: Episode II - Attack of the Clones (2002),6.6,,
Star Wars: Episode IV - A New Hope (1977),8.6,,
Star Wars: Episode I - The Phantom Menace (1999),6.5,,
Star Wars: Episode III - Revenge of the Sith (2005),7.6,,
Ingrid Goes West (2017),6.7,84,"287,345"
Star Trek: The Motion Picture (1979),6.4,,
The Evil Within (2017),5.4,49,"155,035"
Star Trek: First Contact (1996),7.6,,
Overdrive (2017),5.4,126,"340,370"
Star Trek II: The Wrath of Khan (1982),7.7,,
Star Trek III: The Search for Spock (1984),6.7,,
Vision Quest (1985),6.5,13,"34,441"
Year of the Comet (1992),5.8,9,"29,492"
The Poughkeepsie Tapes (2007),6.1,30,"84,032"
You Only Live Once (1937),7.4,20,"44,440"
Teen Wolf (1985),6 ,23,"60,701"
Bushwick (2017),5.2,65,"238,865"
Ice Age (2002),7.5,89,"201,087"
Star Trek: Generations (1994),6.6,,
The Emoji Movie (2017),3.1,245,"834,563"
Northpole: Open for Christmas (2015),6.4,,
The Flamingo Kid (1984),6.2,10,"54,136"
Armed Response (2017),3.8,46,"190,183"
A Very Sordid Wedding (2017),5.6,31,"118,877"
Manifesto (2015),6.7,34,"72,215"
Maudie (2016),7.7,38,"85,749"
Open Water 3: Cage Dive (2017),4.1,,
War for the Planet of the Apes (2017),7.5,729,"2,447,735"
Pressure (2015),5.6,41,"125,947"
A Family Man (2016),6.5,82,"216,443"
Viceroy's House (2017),6.6,,
Harmony (2015),6.3,52,"129,482"
American Gothic (2017),3.7,20,"45,854"
Annabelle: Creation (2017),6.6,,
Bon Cop Bad Cop 2 (2017),6.7,89,"326,937"
Justice (2017),4 ,33,"150,490"
Red Christmas (2016),4.5,33,"80,800"
The Ghoul (2016),5.6,19,"71,508"
The Man with the Iron Heart (2017),6.4,102,"324,816"
Indiscretion (2016),4.9,31,"69,993"
The Dark Tower (2017),5.7,500,"1,345,421"
Spider-Man: Homecoming (2017),7.5,,
Wrecker (2015),3.5,40,"73,023"
Dirty Dancing (2017),3.1,17,"100,798"
Killing Hasselhoff (2017),4.3,31,"153,015"
ClownTown (2016),3.8,26,"74,437"
68 Kill (2017),6 ,44,"123,826"
Girls Trip (2017),6.3,115,"885,669"
6 Days (2017),6.2,123,"479,952"
The Little Hours (2017),5.8,48,"143,420"
Empire of the Sharks (2017),2.9,26,"97,566"
Una (2016),6.3,57,"164,024"
Cargo (2017),7.6,58,"147,258"
Darling (2015),5.6,16,"34,037"
The Beguiled (2017),6.4,81,"233,209"
Paris Can Wait (2016),5.7,33,"129,280"
My Pet Dinosaur (2017),4 ,55,"241,592"
Enter The Warriors Gate (2016),5.3,177,"735,381"
Distance Between Dreams (2016),6.4,38,"126,654"
Wish Upon (2017),5.1,101,"300,172"
Seminole (1953),6.3,6,"27,977"
Joe Bullet (1973),5.5,4,"28,684"
A Night of Horror Volume 1 (2015),4.2,33,"89,183"
Hired Gun (2016),7.2,14,"75,649"
#Stuck (2014),5.6,,
Subterranea (2015),4.2,52,"103,424"
Despicable Me 3 (2017),6.3,614,"1,940,412"
Cult of Chucky (2017),5.2,166,"622,564"
The House (2017),5.6,128,"441,572"
Baby Driver (2017),7.7,789,"1,690,134"
Mr. Pig (2016),5.7,,
Certain Women (2016),6.4,21,"71,407"
The Wizard of Lies (2017),6.8,145,"266,438"
The Boss Baby and Tim's Treasure Hunt Through Time (2017),3.9,,
Transformers: The Last Knight (2017),5.2,,
Berlin Syndrome (2017),6.3,97,"253,207"
Lone Wolves (2016),2.1,25,"96,051"
Live from Space (2014),5.8,16,"49,389"
VHS Massacre: Cult Films and the Decline of Physical Media (2016),5.9,,
The Book of Henry (2017),6.5,80,"222,301"
Big Bad Wolf (2006),5.3,18,"36,360"
The Great Waldo Pepper (1975),6.6,5,"31,411"
Boys in the Trees (2016),6.3,58,"123,826"
Goon: Last of the Enforcers (2017),5.8,,
Eight Crazy Nights (2002),5.3,19,"50,702"
Pirates of the Caribbean: Dead Men Tell No Tales (2017),6.7,,
Shock Wave (2017),6.4,72,"293,708"
The Bad Batch (2016),5.3,65,"173,013"
Revolt (2017),5.2,69,"255,126"
Atomica (2017),4.1,36,"124,331"
A Ghost Story (2017),6.9,115,"312,595"
Escape Room (2017),4.3,32,"118,877"
Voyage of Time: Life's Journey (2016),6.4,,
Anomalous (2016),4.5,15,"46,258"
The Mummy (2017),5.5,589,"1,954,855"
Rebecca (1940),8.2,19,"33,128"
Maurice (1987),7.7,32,"57,772"
Hopscotch (1980),7.2,11,"39,491"
The Shepherd of the Hills (1941),7.1,7,"32,623"
Churchill (2017),6.5,39,"133,623"
Demon Seed (1977),6.3,15,"46,965"
2:22 (2017),5.7,,
47 Metres Down (2017),5.7,175,"674,074"
Wonder Woman (2017),7.5,1104,"2,643,877"
Blood Brothers (2015),3.6,11,"45,551"
Scooby-Doo! Frankencreepy (2014),6.9,,
Till We Meet Again (2016),5.9,45,"136,451"
Starship Troopers: Traitor of Mars (2017),5.5,,
The Deadly Affair (1966),6.9,14,"39,289"
Internal Affairs (1990),6.5,32,"47,369"
Teen Wolf Too (1987),3.2,12,"28,078"
The Hero (2017),6.5,57,"182,709"
Mr. Mom (1983),6.5,,
Sharknado 5: Global Swarming (2017),4.1,,
Playing God (1997),5.6,17,"42,016"
Kidnap (2017),5.9,214,"490,052"
Throne of Elves (2016),6.2,83,"396,829"
The Big Sick (2017),7.6,258,"720,938"
Quicksilver (1986),5.6,10,"34,643"
"They Shoot Horses, Don't They? (1969)",7.9,,
Whitney: Can I Be Me (2017),6.6,,
Something for Everyone (1970),7.2,9,"36,057"
The Wheeler Dealers (1963),6.6,7,"31,108"
Road to Rio (1947),7.3,17,"32,421"
Batman and Harley Quinn (2017),5.9,96,"299,970"
It Comes at Night (2017),6.2,126,"461,570"
Mindhorn (2016),6.3,36,"163,014"
Dead Again in Tombstone (2017),4.1,55,"137,158"
A Haunting at the Rectory (2015),3.4,23,"72,821"
The Osiris Child (2016),5.6,106,"417,534"
Potent Media's Sugar Skull Girls (2016),3 ,,
Let Me Make You a Martyr (2016),4.8,45,"85,951"
Chronically Metropolitan (2016),5.2,17,"76,659"
Don't Take Me Home (2017),6.9,,
A Dark Song (2016),6.1,72,"167,357"
First Kill (2017),4.9,112,"422,483"
Band Aid (2017),6.6,28,"113,827"
Fun Mom Dinner (2017),5 ,39,"183,113"
Captain Underpants: The First Epic Movie (2017),6.2,,
Risk (2016),6.3,21,"84,941"
Unlocked (2017),6.2,188,"463,792"
Lowriders (2016),5.6,51,"180,588"
All Eyez on Me (2017),5.8,197,"581,053"
Guardians of the Galaxy Vol. 2 (2017),7.7,,
Old Dracula (1974),3.7,7,"22,523"
Ernest Scared Stupid (1991),5.8,17,"52,116"
The Savage Innocents (1960),7.2,6,"36,663"
Ernest Goes to Jail (1990),5.4,13,"46,258"
Megan Leavey (2017),7.1,162,"465,004"
The Girl from the Song (2017),5.7,98,"334,310"
Blood Orange (2016),4.2,20,"73,730"
Born in China (2016),7.2,72,"184,426"
Zorba the Greek (1964),7.8,21,"58,479"
Rough Night (2017),5.2,125,"545,501"
Attack of the Killer Donuts (2016),3.9,13,"41,814"
My Cousin Rachel (2017),6 ,93,"298,859"
Inconceivable (2017),5.3,105,"340,572"
Lady Macbeth (2016),6.9,83,"230,785"
Windows (1980),4.7,11,"35,754"
The Recall (2017),4.7,113,"297,546"
Life During Wartime (2009),6.4,12,"42,622"
Baywatch (2017),5.6,531,"2,460,663"
Night Moves (1975),7.2,22,"49,086"
The Last of the Finest (1990),5.6,14,"45,551"
Williams (2017),7.7,27,"146,450"
Oceans Rising (2017),2.4,101,"263,004"
Security (2017),5.7,172,"603,677"
"The 5,000 Fingers of Dr. T. (1953)",6.9,,
Kill Switch (2017),4.9,81,"268,155"
The Breaking Point (1950),7.5,9,"34,542"
The Sense of an Ending (2017),6.3,37,"145,844"
The Transfiguration (2016),5.9,25,"86,658"
Titanic (1997),7.8,877,"959,019"
The Ottoman Lieutenant (2017),6.8,85,"238,865"
Edtv (1999),6.1,19,"85,143"
Meantime (1984),7.2,13,"56,964"
Blind (2017),5.6,36,"120,291"
Shin Godzilla (2016),6.7,74,"229,674"
Edge of Seventeen (1998),6.8,21,"43,329"
The Curse of Sleeping Beauty (2016),4.3,59,"197,657"
Star Raiders: The Adventures of Saber Raine (2017),3 ,,
Operation Dunkirk (2017),3.5,82,"481,568"
Pocket Listing (2015),5.4,18,"104,838"
Eight Men Out (1988),7.3,22,"59,287"
The Exception (2016),6.8,68,"202,101"
The Wall (2017),6.2,133,"654,581"
How to Be a Latin Lover (2017),5.9,52,"325,119"
The Case for Christ (2017),6 ,61,"186,042"
King Arthur: Legend of the Sword (2017),6.8,,
Chuck (2016),6.5,24,"97,263"
Alien: Covenant (2017),6.5,,
Snatched (2017),4.4,59,"479,649"
Boyka: Undisputed (2016),7.1,,
Shot Caller (2017),7.4,249,"691,648"
The Dinner (2017),4.5,33,"172,710"
Wakefield (2016),6.4,71,"229,472"
Ghost in the Shell (2017),6.4,520,"2,109,183"
Phoenix Forgotten (2017),5.2,52,"151,904"
Lego Scooby-Doo! Blowout Beach Bash (2017),5.5,,
Tonight She Comes (2016),3.8,34,"200,182"
"Stockholm, My Love (2016)",4.6,,
Charlie Charlie (2016),2.4,37,"161,903"
The Circle (2017),5.3,166,"776,185"
The Drowning (2016),4.4,19,"109,484"
Going in Style (2017),6.6,303,"1,319,666"
The Hippopotamus (2017),6.4,30,"175,841"
S.W.A.T.: Under Siege (2017),4.4,,
Viral (2016),5.5,54,"138,370"
Across the Line (2015),5.2,21,"87,567"
Colossal (2016),6.2,101,"372,488"
Sleight (2016),5.9,85,"385,820"
The Singing Detective (2003),5.6,14,"54,944"
The Man from Planet X (1951),5.7,8,"27,977"
S.O.B. (1981),6.4,,
Detention (2011),5.8,18,"59,691"
The Levelling (2016),6.4,22,"85,143"
ChickLit (2016),4.5,19,"87,264"
Drone (2017),5.3,70,"359,459"
A Quiet Passion (2016),6.6,28,"124,836"
The Boss Baby (2017),6.3,504,"2,466,824"
Unforgettable (2017),5 ,80,"370,165"
Gifted (2017),7.6,485,"1,277,852"
Hellbound: Hellraiser II (1988),6.5,,
The Lawnmower Man (1992),5.4,29,"80,093"
Route Irish (2010),6.4,33,"163,115"
Eloise (2017),4.5,53,"191,294"
The Phantom of the Opera at the Royal Albert Hall (2011),8.8,54,"171,902"
The Haunting of Alice D (2014),3.7,30,"78,780"
The Promise (2016),6 ,62,"189,072"
Get the Girl (2017),5.1,24,"138,875"
Wazir (2016),7.2,154,"355,520"
Free Fire (2016),6.4,72,"279,568"
Pilgrimage (2017),5.8,72,"302,899"
My Name Is Lenny (2017),6.9,34,"185,638"
Buster's Mal Heart (2016),6 ,,
Sex Doll (2016),4.4,176,"439,350"
Once Upon a Time in Venice (2017),5.2,124,"720,635"
Another Evil (2016),5.6,15,"101,909"
Resident Evil: Vendetta (2017),6.3,,
The Lost City of Z (2016),6.6,337,"1,452,885"
Trespass (1992),6.2,12,"111,605"
Straight Talk (1992),5.7,12,"49,389"
R.H.I.N.O.; Really Here in Name Only (1983),6.7,,
Dr. Giggles (1992),5.1,,
A Few Less Men (2017),4.7,44,"197,051"
Let Her Out (2016),4.4,47,"151,197"
The Fate of the Furious (2017),6.7,762,"2,824,566"
Their Finest (2016),6.8,52,"153,419"
Black Butterfly (2017),6.1,85,"320,776"
Motivational Growth (2013),5.8,9,"40,097"
Smurfs: The Lost Village (2017),5.9,,
Kong: Skull Island (2017),6.7,,
Dragonwyck (1946),7 ,3,"26,159"
House of Strangers (1949),7.4,12,"28,280"
Barabbas (1961),7 ,11,"37,067"
Bonjour Tristesse (1958),6.9,9,"25,755"
The Pacifier (2005),5.6,230,"216,931"
Extortion (2017),6.2,75,"225,836"
Ghost in the Shell Arise: Border 4 - Ghost Stands Alone (2014),7.3,,
Ghost in the Shell Arise: Border 3 - Ghost Tears (2014),7.3,,
Is Genesis History? (2017),4.1,,
Whoever Slew Auntie Roo? (1971),6.2,,
Moontrap: Target Earth (2017),5.1,,
Who'll Stop the Rain (1978),6.8,,
Revenge of the Pink Panther (1978),6.7,27,"45,652"
Trail of the Pink Panther (1982),4.9,24,"55,449"
The Babymoon (2017),4.4,22,"96,455"
Apprentice (2016),6.5,36,"155,540"
Rabbit Hole (2010),7 ,58,"145,440"
Shrek Forever After (2010),6.3,214,"345,616"
Youth in Revolt (2009),6.5,44,"84,133"
Gods and Generals (2003),6.3,20,"98,071"
Shrek the Third (2007),6.1,204,"286,652"
Shrek 2 (2004),7.2,222,"348,419"
The Food Guide to Love (2013),5.8,6,"34,037"
D3: The Mighty Ducks (1996),5.4,,
The Zookeeper's Wife (2017),7 ,,
Airport (1970),6.6,9,"23,533"
Red Dog: True Blue (2016),6.4,,
Evil Ed (1995),5.5,12,"19,089"
Jawbreaker (1999),5.5,18,"40,299"
Needful Things (1993),6.2,30,"61,913"
Song to Song (2017),5.8,65,"202,000"
Alone in Berlin (2016),6.4,34,"172,205"
Beauty and the Beast (2017),7.3,619,"2,990,812"
Power Rangers (2017),6 ,451,"1,302,900"
The Eagle Huntress (2016),7.5,55,"179,073"
Immortal Beloved (1994),7.5,22,"90,496"
Robin Hood (1973),7.6,108,"281,987"
How to Steal a Million (1966),7.6,76,"88,143"
Ghostbusters (2016),5.3,264,"199,677"
CHIPS (2017),6 ,214,"1,234,826"
The Finest Hours (2016),6.7,226,"699,102"
The Three Musketeers (2011),5.8,160,"270,492"
Kung Fu Panda 3 (2016),7.1,302,"621,748"
Independence Day: Resurgence (2016),5.2,,
The Legend of Tarzan (2016),6.3,401,"665,388"
Ice Age: Collision Course (2016),5.7,,
Dragonheart: Battle for the Heartfire (2017),5.2,,
Jawbone (2017),6.5,35,"231,593"
Das Boot (1981),8.4,72,"136,350"
Glory (1989),7.9,109,"228,249"
The Belko Experiment (2016),6.1,113,"355,924"
Life (2017),6.6,399,"1,662,662"
Altitude (2017),4 ,59,"318,655"
The Carer (2016),6.5,30,"168,468"
Wilson (2017),5.8,45,"195,435"
On the Double (1961),6.6,7,"67,367"
Prevenge (2016),6 ,26,"120,695"
The Legend of Ben Hall (2017),5.8,62,"272,296"
A Date with Miss Fortune (2015),5.4,35,"141,097"
We Go On (2016),5.8,44,"135,946"
Sniper (1993),6.1,28,"72,215"
The Last Flight of Noah's Ark (1980),5.8,,
Tell Me How I Die (2016),5 ,28,"112,918"
I Tawt I Taw a Puddy Tat (2011),6.4,51,"203,616"
The LEGO Batman Movie (2017),7.3,316,"1,399,961"
12 Rounds (2009),5.6,46,"163,620"
I Am Heath Ledger (2017),7.4,107,"302,495"
Table 19 (2017),5.8,38,"277,750"
John Wick: Chapter 2 (2017),7.5,,
How to Murder Your Wife (1965),6.6,13,"82,214"
The Sea Shall Not Have Them (1954),6.5,5,"47,672"
Alvarez Kelly (1966),6.4,3,"23,634"
Knock on Wood (1954),6.9,34,"37,226"
Game of Death (1978),6.1,174,"164,610"
Queen Rock Montreal & Live Aid (2007),8.6,,
Peaceful Warrior (2006),7.3,35,"98,677"
The Vagrant (1992),5.8,4,"21,109"
Overboard (1987),6.8,26,"51,005"
Viking Legacy (2016),2.5,24,"151,904"
The Axe Murders of Villisca (2016),4.2,15,"46,359"
The Last Word (2017),6.6,54,"257,550"
Neron (2017),3.6,37,"99,081"
Swallows and Amazons (2016),6.2,50,"227,755"
